Iteration	Posterior	Likelihood	Prior	lambda	rate[1]	rate[2]	tr[1]	tr[2]	word_rate_mult[1]	word_rate_mult[2]	word_rate_mult[3]	word_rate_mult[4]	word_rate_mult[5]	word_rate_mult[6]	word_rate_mult[7]	word_rate_mult[8]	word_rate_mult[9]	word_rate_mult[10]	word_rate_mult[11]
0	-1057.204	-1067.964	10.76003	0.01993041	0.99145	0.00854993	0.5	0.5	0.861799	0.701194	1.14364	1.39174	0.587238	0.225616	0.292159	0.714614	1.66162	0.957649	2.46274
5	-699.2626	-675.0086	-24.25406	0.01273309	0.946262	0.0537377	0.5	0.5	0.0163418	0.0132963	0.0216861	10.6418	0.0111354	0.00427823	0.00554003	0.0135508	0.207507	0.0181593	0.0466994
10	-672.9412	-646.2019	-26.7393	0.01480959	0.979889	0.0201109	0.5	0.5	0.0166289	0.0135299	0.0220671	10.8288	0.0113311	0.0043534	0.00563737	0.0137889	0.0178748	0.0184784	0.04752
15	-667.0272	-639.7162	-27.31096	0.02052618	0.961754	0.0382463	0.5	0.5	0.0166289	0.0135299	0.0220671	10.8288	0.0113311	0.0043534	0.00563737	0.0137889	0.0178748	0.0184784	0.04752
20	-673.4576	-646.6854	-26.7722	0.01513863	0.97329	0.0267103	0.5	0.5	0.0166289	0.0135299	0.0220671	10.8288	0.0113311	0.0043534	0.00563737	0.0137889	0.0178748	0.0184784	0.04752
25	-671.7852	-645.6231	-26.16213	0.01387591	0.959476	0.0405239	0.5	0.5	0.0166116	0.0135159	0.0220442	10.8175	0.0113193	0.00434887	0.00563151	0.0137745	0.0293004	0.0184592	0.0474706
30	-671.8138	-645.5943	-26.21952	0.01444983	0.973931	0.0260693	0.5	0.5	0.0166116	0.0135159	0.0220442	10.8175	0.0113193	0.00434887	0.00563151	0.0137745	0.0293004	0.0184592	0.0474706
35	-671.0965	-644.7848	-26.31167	0.01537132	0.969791	0.0302089	0.5	0.5	0.0166116	0.0135159	0.0220442	10.8175	0.0113193	0.00434887	0.00563151	0.0137745	0.0293004	0.0184592	0.0474706
40	-671.555	-644.7914	-26.76364	0.01989099	0.955663	0.0443366	0.5	0.5	0.0166116	0.0135159	0.0220442	10.8175	0.0113193	0.00434887	0.00563151	0.0137745	0.0293004	0.0184592	0.0474706
45	-678.6244	-652.2572	-26.36724	0.01592701	0.977034	0.0229661	0.5	0.5	0.0166116	0.0135159	0.0220442	10.8175	0.0113193	0.00434887	0.00563151	0.0137745	0.0293004	0.0184592	0.0474706
